This file is automatically generated. DO NOT EDIT!
"Qty bottom";"Qty top";"Qty";"Value";"Footprint";"Parts";"Parts bottom";"Parts top";"Description";"Type";"MPN";"Alternative";"Supplied by"
"0";"2";"2";"0R 1% 63mW";"R0402";"R18 R19";".";"R18 R19";"Resistor";"smd";"";"";""
"0";"4";"4";"100m 1% 63mW";"R0402";"R201 R301 R401 R501";".";"R201 R301 R401 R501";"Resistor";"smd";"";"";""
"0";"1";"1";"1K2 1% 63mW";"R0402";"R5";".";"R5";"Resistor";"smd";"";"";""
"0";"1";"1";"8.2K 1% 63mW";"R0402";"R602";".";"R602";"Resistor";"smd";"";"";""
"0";"16";"16";"10K 1% 63mW";"R0402";"R1 R2 R3 R4 R6 R7 R8 R9 R10 R11 R14 R16 R202 R302 R402 R502";".";"R1 R2 R3 R4 R6 R7 R8 R9 R10 R11 R14 R16 R202 R302 R402 R502";"Resistor";"smd";"";"";""
"0";"4";"4";"68K 1% 63mW";"R0402";"R12 R13 R15 R601";".";"R12 R13 R15 R601";"Resistor";"smd";"";"";""

"0";"2";"2";"18pF 50V C0G";"C0402";"C1 C2";".";"C1 C2";"Unpolarized capacitor";"smd";"";"";""
"0";"21";"21";"100nF 25V X5R";"C0402";"C3 C4 C5 C6 C7 C8 C12 C17 C19 C204 C304 C404 C504 C604 C605 C606 C608 C609 C613 C614 C615";".";"C3 C4 C5 C6 C7 C8 C12 C17 C19 C204 C304 C404 C504 C604 C605 C606 C608 C609 C613 C614 C615";"Unpolarized capacitor";"smd";"";"";""
"0";"5";"5";"C";"C0402";"C13 C14 C101 C102 C103";".";"C13 C14 C101 C102 C103";"Unpolarized capacitor";"smd";"";"";""
"0";"25";"25";"10uF 25V X5R";"C0805";"C9 C10 C11 C15 C16 C18 C20 C201 C202 C203 C301 C302 C303 C401 C402 C403 C501 C502 C503 C603 C607 C610 C612 C616 C617";".";"C9 C10 C11 C15 C16 C18 C20 C201 C202 C203 C301 C302 C303 C401 C402 C403 C501 C502 C503 C603 C607 C610 C612 C616 C617";"Unpolarized capacitor";"smd";"";"";""
"0";"2";"2";"68uF 25V";"CP_Elec_6.3x5.4";"C601 C611";".";"C601 C611";"Polarized capacitor";"smd";"CS1E680M-CRE54 ";"";""

"0";"1";"1";"1.2uH";"L_APV_ANR4012";"L601";".";"L601";"Inductor";"smd";"FTC404020S1R2MBCA";"";""
"0";"4";"4";"2.2u";"L_APV_ANR4020";"L201 L301 L401 L501";".";"L201 L301 L401 L501";"Inductor";"smd";"SMNR4020-2.2UH";"";""
"0";"1";"1";"L";"L0402";"L1";".";"L1";"Inductor";"smd";"";"";""

"0";"1";"1";"LED_RGBW";"QR4xLED";"D2";".";"D2";"";"smd";"";"";""
"1";"0";"1";"SS34";"SMA";"D1";"D1";".";"Diode";"smd";"SS34";"";""

"0";"1";"1";"Antenna_Shield";"Texas_SWRA117D_2.4GHz_Right";"AE101";".";"AE101";"Antenna with extra pin for shielding";"conventional";"";"";""

"0";"1";"1";"Conn_Coaxial";"U.FL_Hirose_U.FL-R-SMT-1_Vertical";"J101";".";"J101";"coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)";"smd";"RF1-2626-125CE-CT";"";""
"0";"1";"1";"Screw_Terminal_01x02";"TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal";"J601";".";"J601";"Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)";"conventional";"MX128-2.54-02P-GN01-Cu-Y-A ";"";""
"0";"1";"1";"USB_C_Receptacle_USB2.0_16P";"USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal";"J1";".";"J1";"USB 2.0-only 16P Type-C Receptacle connector";"conventional";"";"";""

"0";"2";"2";"SW_SPST";"TS1101A26025";"SW1 SW2";".";"SW1 SW2";"Single Pole Single Throw (SPST) switch";"smd";"GT-TC034A-H025-L1NB";"";""

"0";"1";"1";"CH224D";"QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm_ThermalVias";"U1";".";"U1";"";"conventional";"";"";""
"0";"1";"1";"ESP32-C6FHx";"QFN-32-1EP_5x5mm_P0.5mm_EP3.65x3.65mm_ThermalVias";"U101";".";"U101";"";"conventional";"";"";""
"0";"1";"1";"MB34F";"MFB";"U601";".";"U601";"Full bridge rectifier 200V 3A";"smd";"MB34F";"";""
"0";"1";"1";"SY8366H";"QFN3X3-12_SGY";"U602";".";"U602";"";"smd";"";"";""
"0";"4";"4";"TPS92201";"WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias";"U202 U302 U402 U502";".";"U202 U302 U402 U502";"";"conventional";"";"";""
"0";"1";"1";"XBL1117";"SOT-223";"U603";".";"U603";"";"smd";"XBLW XBL1117-3.3";"";""

"0";"1";"1";"40MHz";"Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering";"Y1";".";"Y1";"Four pin crystal, GND on pins 2 and 4";"smd";"C37635388";"";""
